Resource,Prompt,Rego intent,Difficulty,Reference output,Intent,LLM Output #0,LLM Plannable? #0,LLM Correct? #0,LLM Plan Phase Error #0,LLM OPA match phase Error #0,LLM Notes #0
"aws_route53_record, aws_route53_zone",Set up a record that maps a domain name to an IPv4 address using Route 53 resources,"package terraform.validation

default is_configuration_valid = false

default is_valid_r53_zone = false

default is_valid_r53_record = false

# Validate aws_route53_zone resource
is_valid_r53_zone {
        some i
        resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_zone""
    resource.expressions.name.constant_value == ""example53.com""
}

# Validate aws_route53_record
is_valid_r53_record {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_record""
    resource.expressions.name
    resource.expressions.type.constant_value == ""A""
    resource.expressions.ttl
    resource.expressions.records
    resource.expressions.zone_id.references[0] == ""aws_route53_zone.example53.zone_id""
}


# Combine all checks into a final rule
is_configuration_valid {
    is_valid_r53_zone
    is_valid_r53_record
}
",2,"provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_route53_zone"" ""example53"" {
  name = ""example53.com""
}

resource ""aws_route53_record"" ""example53_A"" {
  zone_id = aws_route53_zone.example53.zone_id
  name    = ""example53.com""
  type    = ""A""
  ttl     = ""300""
  records = [""192.0.2.1""]  
}","Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com""

Has one ""aws_route53_record"" resource
    with ""name""
    with ""type"" set to ""A""
    with ""ttl""
    with ""records""
    with ""zone_id"" referencing the ""aws_route53_zone"" resource
"," ```hcl
provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_route53_zone"" ""example"" {
  name = ""example.com""
}

resource ""aws_route53_record"" ""www"" {
  zone_id = aws_route53_zone.example.zone_id
  name    = ""www""
  type    = ""A""
  ttl     = 300
  records = [""192.168.1.1""]
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'validation': {'is_configuration_valid': False, 'is_valid_r53_record': False, 'is_valid_r53_zone': False}}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
"aws_route53_record, aws_route53_zone",Set up a record that maps a domain name to an IPv6 address using Route 53 resources,"package terraform.validation

default is_configuration_valid = false

default is_valid_r53_zone = false

default is_valid_r53_record = false

# Validate aws_route53_zone resource
is_valid_r53_zone {
        some i
        resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_zone""
    resource.expressions.name.constant_value == ""example53.com""
}

# Validate aws_route53_record
is_valid_r53_record {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_record""
    resource.expressions.name
    resource.expressions.type.constant_value == ""AAAA""
    resource.expressions.ttl
    resource.expressions.records
    resource.expressions.zone_id.references[0] == ""aws_route53_zone.example53.zone_id""
}


# Combine all checks into a final rule
is_configuration_valid {
    is_valid_r53_zone
    is_valid_r53_record
}
",2,"provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_route53_zone"" ""example53"" {
  name = ""example53.com""
}

resource ""aws_route53_record"" ""example53_A"" {
  zone_id = aws_route53_zone.example53.zone_id
  name    = ""example53.com""
  type    = ""AAAA""
  ttl     = ""300""
  records = [""2001:0db8:85a3:0000:0000:8a2e:0370:7334""]  
}","Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com""

Has one ""aws_route53_record"" resource
    with ""name""
    with ""type"" set to ""AAAA""
    with ""ttl""
    with ""records""
    with ""zone_id"" referencing the ""aws_route53_zone"" resource
"," ```hcl
provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_route53_zone"" ""example"" {
  name = ""example.com""
}

resource ""aws_route53_record"" ""ipv6"" {
  zone_id = aws_route53_zone.example.id
  name    = ""example.com""
  type    = ""AAAA""
  ttl     = 300
  records = [""2001:db8::1""]
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'validation': {'is_configuration_valid': False, 'is_valid_r53_record': False, 'is_valid_r53_zone': False}}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
"aws_route53_record, aws_route53_zone","Set up a Pointer record for reverse DNS using Route 53 resources. The domain name should be ""host.example53.com"" and name the zone ""reverse_zone""","package terraform.validation

default is_configuration_valid = false

default is_valid_r53_zone = false

default is_valid_r53_record = false

# Validate aws_route53_zone resource
is_valid_r53_zone {
        some i
        resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_zone""
    resource.expressions.name.constant_value == ""2.0.192.in-addr.arpa""
}

# Validate aws_route53_record
is_valid_r53_record {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_record""
    resource.expressions.name
    resource.expressions.type.constant_value == ""PTR""
    resource.expressions.ttl
    resource.expressions.records.constant_value[0] == ""host.example.com""
    resource.expressions.zone_id.references[0] == ""aws_route53_zone.reverse_zone.zone_id""
}


# Combine all checks into a final rule
is_configuration_valid {
    is_valid_r53_zone
    is_valid_r53_record
}
",2,"provider ""aws"" {
  region = ""us-east-1""
}

# Create Reverse DNS Hosted Zone
resource ""aws_route53_zone"" ""reverse_zone"" {
  name = ""2.0.192.in-addr.arpa""
}

# Create a PTR Record for a specific IP address within that zone
resource ""aws_route53_record"" ""ptr_record"" {
  zone_id = aws_route53_zone.reverse_zone.zone_id
  name    = ""53.2.0.192.in-addr.arpa""
  type    = ""PTR""
  ttl     = ""3600""
  records = [""host.example.com""]
}","Has one ""aws_route53_zone"" resource
    with ""name"" ending in "".in-addr.arpa""

Has one ""aws_route53_record"" resource
    with ""name""
    with ""type"" set to ""PTR""
    with ""ttl""
    with ""records""
    with ""zone_id"" referencing the ""aws_route53_zone"" resource
"," ```hcl
provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_route53_zone"" ""reverse_zone"" {
  name = ""host.example53.com""
}

resource ""aws_route53_record"" ""ptr_record"" {
  zone_id = aws_route53_zone.reverse_zone.zone_id
  name    = ""10.0.0.1""
  type    = ""PTR""
  ttl     = 3600
  records = [""host.example53.com.""]
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'validation': {'is_configuration_valid': False, 'is_valid_r53_record': False, 'is_valid_r53_zone': False}}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
"aws_route53_record, aws_route53_zone","Set up a TXT recordfor domain ownership verification purposes using Route 53 resources. The verification string should be ""passwordpassword"" and the name of the zone should be ""example""","package terraform.validation

default is_configuration_valid = false

default is_valid_r53_zone = false

default is_valid_r53_record = false

# Validate aws_route53_zone resource
is_valid_r53_zone {
        some i
        resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_zone""
    resource.expressions.name.constant_value == ""example53.com""
}

# Validate aws_route53_record
is_valid_r53_record {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_record""
    resource.expressions.name
    resource.expressions.type.constant_value == ""TXT""
    resource.expressions.ttl
    resource.expressions.records.constant_value[0] == ""passwordpassword""
    resource.expressions.zone_id.references[0] == ""aws_route53_zone.example.zone_id""
}


# Combine all checks into a final rule
is_configuration_valid {
    is_valid_r53_zone
    is_valid_r53_record
}",2,"provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_route53_zone"" ""example"" {
  name = ""example53.com""
}

# TXT Record for domain verification or other purposes
resource ""aws_route53_record"" ""example_txt"" {
  zone_id = aws_route53_zone.example.zone_id
  name    = ""sub.example53.com""
  type    = ""TXT""
  ttl     = ""300""
  records = [""passwordpassword""] 
}","Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com""

Has one ""aws_route53_record"" resource
    with ""name""
    with ""type"" set to ""TXT""
    with ""ttl""
    with ""records"" set to a string
    with ""zone_id"" referencing the ""aws_route53_zone"" resource
"," ```hcl
provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_route53_zone"" ""example"" {
  name = ""example""
}

resource ""aws_route53_record"" ""domain_verification"" {
  zone_id = aws_route53_zone.example.zone_id
  name    = ""_amazonses""
  type    = ""TXT""
  ttl     = 60
  records = [""passwordpassword""]
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'validation': {'is_configuration_valid': False, 'is_valid_r53_record': True, 'is_valid_r53_zone': False}}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
"aws_elastic_beanstalk_application, aws_elastic_beanstalk_configuration_template",Create a template of an elastic beanstalk application,"package terraform.validation

default is_configuration_valid = false

default is_valid_eb_app = false

default is_valid_eb_app_template = false


is_valid_eb_app {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_elastic_beanstalk_application""
    resource.expressions.name
}



is_valid_eb_app_template {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_elastic_beanstalk_configuration_template""
    resource.expressions.name
    resource.expressions.solution_stack_name
    startswith(resource.expressions.application.references[0], ""aws_elastic_beanstalk_application"")
}


is_configuration_valid {
    is_valid_eb_app
    is_valid_eb_app_template
}",2,"provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_elastic_beanstalk_application"" ""tftest"" {
  name        = ""tf-test-name""
  description = ""tf-test-desc""
}

resource ""aws_elastic_beanstalk_configuration_template"" ""tf_template"" {
  name                = ""tf-test-template-config""
  application         = aws_elastic_beanstalk_application.tftest.name
  solution_stack_name = ""64bit Amazon Linux 2023 v4.0.9 running Python 3.11""
}","Has one ""aws_elastic_beanstalk_application"" resource
    with ""name""

Has one ""aws_elastic_beanstalk_configuration_template"" resource
    with ""name""
    with ""application"" referencing the ""aws_elastic_beanstalk_application"" resource
    with ""solution_stack_name"" "," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_elastic_beanstalk_application"" ""example"" {
  name        = ""terraform-example-app""
  description = ""Terraform example of an Elastic Beanstalk application""
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'validation': {'is_configuration_valid': False, 'is_valid_eb_app': True, 'is_valid_eb_app_template': False}}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
"aws_elastic_beanstalk_application, aws_elastic_beanstalk_configuration_template",Create a template of an elastic beanstalk application that is running a version of Go,"package terraform.validation

default is_configuration_valid = false

default is_valid_eb_app = false

default is_valid_eb_app_template = false


is_valid_eb_app {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_elastic_beanstalk_application""
    resource.expressions.name
}



is_valid_eb_app_template {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_elastic_beanstalk_configuration_template""
    resource.expressions.name
    endswith(resource.expressions.solution_stack_name.constant_value, ""Go 1"")
    startswith(resource.expressions.application.references[0], ""aws_elastic_beanstalk_application"")
}


is_configuration_valid {
    is_valid_eb_app
    is_valid_eb_app_template
}",2,"provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_elastic_beanstalk_application"" ""tftest"" {
  name        = ""tf-test-name""
  description = ""tf-test-desc""
}

resource ""aws_elastic_beanstalk_configuration_template"" ""tf_template"" {
  name                = ""tf-test-template-config""
  application         = aws_elastic_beanstalk_application.tftest.name
  solution_stack_name = ""64bit Amazon Linux 2 v3.10.1 running Go 1""
}","Has one ""aws_elastic_beanstalk_application"" resource
    with ""name""

Has one ""aws_elastic_beanstalk_configuration_template"" resource
    with ""name""
    with ""application"" referencing the ""aws_elastic_beanstalk_application"" resource
    with ""solution_stack_name"" that references a valid ""Go"" version"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_elastic_beanstalk_application"" ""go_app"" {
  name        = ""go-app""
  description = ""An application running a version of Go""
}

resource ""aws_iam_role"" ""aws_elastic_beanstalk_service_role"" {
  name = ""aws_elastic_beanstalk_service_role""

  assume_role_policy = <<EOF
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Action"": ""sts:AssumeRole"",
      ""Principal"": {
        ""Service"": ""elasticbeanstalk.amazonaws.com""
      },
      ""Effect"": ""Allow"",
      ""Sid"": """"
    }
  ]
}
EOF
}

resource ""aws_iam_role_policy"" ""aws_elastic_beanstalk_service_role_policy"" {
  name = ""aws_elastic_beanstalk_service_role_policy""
  role = aws_iam_role.aws_elastic_beanstalk_service_role.name

  policy = <<EOF
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Action"": [
        ""s3:*""
      ],
      ""Effect"": ""Allow"",
      ""Resource"": ""*""
    },
    {
      ""Action"": [
        ""cloudwatch:*"",
        ""logs:*""
      ],
      ""Effect"": ""Allow"",
      ""Resource"": ""*""
    }
  ]
}
EOF
}

resource ""aws_elastic_beanstalk_environment"" ""go_app_env"" {
  name                = ""go-app-env""
  application         = aws_elastic_beanstalk_application.go_app.name
  solution_stack_name = ""64bit Amazon Linux 2 v3.1.1 running Go 1.15""

  setting {
    namespace = ""aws:autoscaling:launchconfiguration""
    name      = ""InstanceType""
    value     = ""t2.micro""
  }

  setting {
    namespace = ""aws:elasticbeanstalk:environment""
    name      = ""EnvironmentType""
    value     = ""LoadBalanced""
  }

  setting {
    namespace = ""aws:elasticbeanstalk:environment""
    name      = ""LoadBalancerType""
    value     = ""application""
  }
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'validation': {'is_configuration_valid': False, 'is_valid_eb_app': True, 'is_valid_eb_app_template': False}}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
aws_elastic_beanstalk_application,Provision a resource to deploy and scale a web application that was developed with supported programming languages.,"package terraform.validation

default is_configuration_valid = false

default is_valid_eb_app = false


is_valid_eb_app {
        some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_elastic_beanstalk_application""
    resource.expressions.name
}


is_configuration_valid {
    is_valid_eb_app
}",1,"provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_elastic_beanstalk_application"" ""tftest"" {
  name        = ""tf-test-name""
  description = ""tf-test-desc""
}","Has one ""aws_elastic_beanstalk_application"" resource
    with ""name"""," ```hcl
provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_instance"" ""web_app"" {
  ami           = ""ami-0c55b159cbfafe1f0"" # Amazon Linux AMI ID for us-east-1
  instance_type = ""t2.micro""

  tags = {
    Name = ""WebAppInstance""
  }
}

resource ""aws_security_group"" ""web_app_sg"" {
  name_prefix = ""WebAppSG-""

  ingress {
    from_port   = 80
    to_port     = 80
    protocol    = ""tcp""
    cidr_blocks = [""0.0.0.0/0""]
  }

  egress {
    from_port   = 0
    to_port     = 0
    protocol    = ""-1""
    cidr_blocks = [""0.0.0.0/0""]
  }
}

resource ""aws_security_group_rule"" ""allow_ssh"" {
  type        = ""ingress""
  from_port   = 22
  to_port     = 22
  protocol    = ""tcp""
  cidr_blocks = [""0.0.0.0/0""]
  security_group_id = aws_security_group.web_app_sg.id
}

resource ""aws_network_interface_sg_attachment"" ""web_app_sg_attach"" {
  network_interface_id = aws_instance.web_app.primary_network_interface_id
  security_group_id    = aws_security_group.web_app_sg.id
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'validation': {'is_configuration_valid': False, 'is_valid_eb_app': False}}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
aws_kinesis_stream,Generate a basic Amazon Kinesis stream,"package terraform.validation

import future.keywords.in

default has_valid_resources = false

has_valid_kinesis_stream {
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_kinesis_stream""
    resource.values.name
}

has_valid_resources {
	has_valid_kinesis_stream
}",2,"provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_kinesis_stream"" ""test_stream"" {
  name             = ""drow1""
  shard_count      = 1
  retention_period = 48

  shard_level_metrics = [
    ""IncomingBytes"",
    ""OutgoingBytes"",
  ]

  stream_mode_details {
    stream_mode = ""PROVISIONED""
  }

  tags = {
    Environment = ""test""
  }
}","Has one ""aws_kinesis_stream"" resource"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_kinesis_stream"" ""example"" {
  name        = ""terraform-kinesis-stream""
  shard_count = 1

  tags = {
    Environment = ""dev""
  }
}
```",True,Success,No error,No error,
aws_kinesis_video_stream,Generate a basic Kinesis Video Stream resource,"package terraform.validation

import future.keywords.in

default has_valid_resources = false

has_valid_kinesis_video_stream {
	some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_kinesis_video_stream""
    resource.values.name
}

has_valid_resources {
	has_valid_kinesis_video_stream
}",2,"provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_kinesis_video_stream"" ""default"" {
  name                    = ""terraform-kinesis-video-stream""
  data_retention_in_hours = 1
  device_name             = ""kinesis-video-device-name""
  media_type              = ""video/h264""

  tags = {
    Name = ""terraform-kinesis-video-stream""
  }
}","Has one ""aws_kinesis_video_stream"" resource"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_kinesis_video_stream"" ""example"" {
  name        = ""example-stream""
  stream_mode = ""PRODUCE_AND_CONSUME""

  tags = {
    Environment = ""dev""
  }
}
```",False,No opa_result,"
Error: Unsupported argument

  on main.tf line 7, in resource ""aws_kinesis_video_stream"" ""example"":
   7:   stream_mode = ""PRODUCE_AND_CONSUME""

An argument named ""stream_mode"" is not expected here.
",None,Terraform plan failed.
"aws_kinesis_stream, aws_kinesis_stream_consumer",Generate a resource to manage a Kinesis Stream Consumer,"package terraform.validation

import future.keywords.in

default has_valid_resources = false


has_valid_kinesis_stream {
	some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_kinesis_stream""
    resource.values.name
}

has_valid_kinesis_stream_consumer {
	some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_kinesis_stream_consumer""
    resource.values.name
    role := input.configuration.root_module.resources[i]
    role.expressions.stream_arn
}

has_valid_resources {
	has_valid_kinesis_stream
    has_valid_kinesis_stream_consumer
}
",2,"provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_kinesis_stream"" ""example"" {
  name        = ""example-stream""
  shard_count = 1
}

resource ""aws_kinesis_stream_consumer"" ""example"" {
  name       = ""example-consumer""
  stream_arn = aws_kinesis_stream.example.arn
}","Has one ""aws_kinesis_stream"" resource and one ""aws_kinesis_stream_consumer"" resource"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_kinesis_stream"" ""example"" {
  name        = ""example-stream""
  shard_count = 1
}

resource ""aws_kinesis_stream_consumer"" ""example_consumer"" {
  stream_arn = aws_kinesis_stream.example.arn
  name       = ""example-consumer""
}
```",True,Success,No error,No error,
